player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
Alek Thomas,677950,2022,31,53,28,23,38,17,25,21,27,63,29,42,94,92
David Peralta,444482,2022,56,51,70,73,51,73,78,86,78,37,53,27,57,88
Nick Castellanos,592206,2022,28,49,41,35,22,57,38,29,22,35,15,10,59,2
Willie Calhoun,641432,2022,,,,,,,,,,,,,22,
Danny Mendick,664901,2022,,,,,,,,,,,,,23,
Mike Brosseau,670712,2022,,,,,,,,,,,,,67,
Ozzie Albies,645277,2022,28,41,44,44,18,20,27,16,4,71,17,61,54,92
Whit Merrifield,593160,2022,33,60,35,26,35,28,14,16,10,88,40,85,83,84
Nick Senzel,669222,2022,21,55,19,13,33,8,11,24,17,59,25,66,84,43
Taylor Ward,621493,2022,86,58,82,80,84,82,91,58,61,32,92,55,76,63
Yandy Díaz,650490,2022,86,89,47,22,98,20,13,90,82,98,96,98,45,12
Cody Bellinger,641355,2022,11,10,23,38,8,54,48,64,39,12,40,32,69,84
Santiago Espinal,669289,2022,39,87,27,8,60,20,12,11,15,83,37,90,46,95
Bligh Madris,676632,2022,,,,,,,,,,,,,67,
Michael Papierski,657709,2022,,,,,,,,,,,,,4,
Roberto Pérez,547379,2022,,,,,,,,,,,,,7,
Alejo Lopez,664670,2022,,,,,,,,,,,,,32,
Josh H. Smith,669701,2022,,,,,,,,,,,,,74,43
Yadier Molina,425877,2022,,,,,,,,,,,,,1,
Jacob Stallings,607732,2022,3,10,2,6,10,3,7,8,12,40,31,56,1,
Christian Yelich,592885,2022,75,72,58,43,91,76,63,86,92,34,94,54,78,8
Brian Anderson,605119,2022,,,,,,,,,,,,,59,8
Mike Moustakas,519058,2022,5,1,4,17,13,17,34,29,26,19,55,23,9,
Gavin Sheets,657757,2022,12,12,24,38,11,31,48,32,24,53,35,71,39,
Gary Sánchez,596142,2022,64,21,85,94,19,86,95,61,87,10,38,18,8,
Myles Straw,664702,2022,12,35,3,1,50,1,1,11,4,87,74,98,95,95
Trea Turner,607208,2022,86,94,86,68,75,84,56,71,80,66,25,44,100,8
Charlie Culberson,518586,2022,,,,,,,,,,,,,62,
Giancarlo Stanton,519317,2022,94,67,95,96,75,98,99,99,98,11,76,6,5,
Rafael Devers,646240,2022,96,97,97,94,88,95,88,98,96,68,35,27,27,28
Sean Murphy,669221,2022,75,58,76,75,65,82,73,42,54,48,49,52,26,
Ryan McMahon,641857,2022,61,36,47,52,69,63,61,87,67,22,87,29,21,93
Alex Verdugo,657077,2022,69,93,75,44,62,48,25,44,32,98,15,95,37,43
