,player_name,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,xera,fb_velocity,fb_spin,curve_spin,rating
146,Spencer Howard,0.28,0.37,0.47,0.58,0.13,0.76,0.53,0.64,0.74,0.44,0.13,0.43,0.28,0.47,0.28,0.03,6.56
147,Zack Greinke,0.39,0.18,0.31,0.45,0.6,0.11,0.68,0.6,0.74,0.11,0.92,0.18,0.39,0.07,0.45,0.36,6.54
148,Ross Detwiler,0.43,0.74,0.53,0.38,0.45,0.5,0.03,0.6,0.6,0.73,0.43,0.33,0.43,0.07,0.2,0.07,6.52
149,Merrill Kelly,0.34,0.15,0.3,0.47,0.41,0.19,0.72,0.46,0.41,0.21,0.81,0.11,0.34,0.24,0.67,0.66,6.49
150,Justin Dunn,0.2,0.61,0.34,0.19,0.13,0.72,0.33,0.35,0.59,0.42,0.06,0.39,0.2,0.57,0.76,0.58,6.44
151,Sean Manaea,0.48,0.37,0.36,0.4,0.68,0.06,0.47,0.18,0.29,0.64,0.89,0.58,0.48,0.32,0.06,0.05,6.31
152,Blake Snell,0.23,0.57,0.31,0.18,0.25,0.13,0.08,0.36,0.29,0.89,0.1,0.83,0.23,0.77,0.84,0.23,6.29
153,Aaron Civale,0.25,0.21,0.17,0.17,0.5,0.22,0.43,0.6,0.43,0.24,0.8,0.17,0.25,0.11,0.84,0.9,6.29
154,Ryan Yarbrough,0.35,0.15,0.27,0.43,0.53,0.07,0.5,0.99,0.98,0.14,0.97,0.16,0.35,0.01,0.1,0.25,6.25
155,Ian Anderson,0.4,0.48,0.41,0.37,0.44,0.13,0.2,0.6,0.49,0.48,0.28,0.69,0.4,0.72,0.1,0.02,6.21
156,Yusmeiro Petit,0.38,0.19,0.19,0.23,0.72,0.36,0.4,0.9,0.96,0.01,0.98,0.15,0.38,0.01,0.26,0.06,6.18
157,Trevor Williams,0.33,0.21,0.38,0.52,0.35,0.42,0.59,0.38,0.58,0.38,0.58,0.33,0.33,0.2,0.32,0.21,6.11
158,Griffin Canning,0.27,0.33,0.29,0.29,0.3,0.5,0.25,0.32,0.42,0.41,0.25,0.79,0.27,0.53,0.56,0.31,6.09
159,Bailey Ober,0.33,0.32,0.18,0.1,0.74,0.31,0.2,0.41,0.24,0.61,0.94,0.38,0.33,0.33,0.35,0.28,6.05
